Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
pWin.ai,https://www.crunchbase.com/organization/pwin-ai,"Jun 2, 2025","$10,000,000",Not Started,"Artificial Intelligence (AI), Data Management, Information Technology, Software","Mclean, Virginia, United States","pWin.ai is an AI proposal-writing copilot built with Shipley best practices, streamlining bids and boosting win rates.","19,162",https://www.pwin.ai/,—,Sanju Bansal,Sanju Bansal,https://x.com/pwin_ai,https://www.linkedin.com/company/pwin-ai,11-50,"$10,000,000",2024
deepdots,https://www.crunchbase.com/organization/magic-feedback,"Jun 2, 2025","€6,700,000",Not Started,"Analytics, Artificial Intelligence (AI), Internet","Copenhagen, Hovedstaden, Denmark",deepdots is an AI business creating a platform that compiles user reviews into one location and analyzes everything automatically.,"19,273",https://deepdots.com/,—,"Dawn Capital, Maki.vc, Geeta Schmidt","Dawn Capital, Maki.vc",,https://www.linkedin.com/company/magic-feedback,1-10,"€5,500,000",2023
Growve,https://www.crunchbase.com/organization/growve,"Jun 2, 2025","$400,000,000",Not Started,"Beauty, Brand Marketing, Fitness, Sports, Wellness","Fort Lauderdale, Florida, United States",Growve is a brand aggregator that specializes in the acquisition and management of wellness and beauty brands.,"22,590",https://www.growve.com/,$100M to $500M,"JP Morgan Chase, Wells Fargo, Bank of America, Synovus, The TCW Group",Truist,https://x.com/growveco,https://www.linkedin.com/company/growveco,501-1000,—,2006
Cove,https://www.crunchbase.com/organization/cove-2,"Jun 2, 2025","$18,366,600",Not Started,"Real Estate, SaaS, Software","Washington, District of Columbia, United States",We are on a mission to build software that transforms the way people engage with their physical environment.,"23,383",https://cove.is/,$10M to $50M,"Nuveen, Second Century Ventures, Early Light Ventures, Lead Edge Capital, Kastle","Blackstone Innovations Investments, Lead Edge Capital, Second Century Ventures",,https://www.linkedin.com/company/poweredbycove,11-50,—,2013
Filmhub,https://www.crunchbase.com/organization/filmhub,"Jun 2, 2025","$14,234,950",Not Started,"Film Distribution, Internet, Marketplace, Video Streaming","Santa Monica, California, United States",Filmhub is an all-rights film and TV distributor built by the industry veterans behind the most iconic titles of our time.,"25,622",http://filmhub.com/,$1M to $10M,"Andreessen Horowitz, 8VC, FundersClub, NFX, Güimar Vaca Sittic","Andreessen Horowitz, FundersClub",https://x.com/filmhubhq,https://www.linkedin.com/company/filmhub,11-50,"$6,984,950",2016
Trevi Therapeutics,https://www.crunchbase.com/organization/trevi-therapeutics,"Jun 2, 2025","$311,100,000",Not Started,"Biotechnology, Health Care, Pharmaceutical","Sandy Hook, Connecticut, United States",Trevi Therapeutics is a clinical-stage biopharmaceutical company that develops drugs for treating uremic pruritus.,"26,278",http://www.trevitherapeutics.com/,—,"Vivo Capital, Omega Funds, Frazier Life Sciences, New Enterprise Associates, Adage Capital Management","Frazier Life Sciences, New Enterprise Associates, TPG Biotech, Venrock Healthcare Capital Partners",https://x.com/TreviThera,https://www.linkedin.com/company/trevi-therapeutics-inc-/,11-50,"$115,100,000",2011
Lumoview Building Analytics,https://www.crunchbase.com/organization/lumoview-building-analytics,"Jun 2, 2025","€5,500,000",Not Started,"Analytics, CleanTech, Energy Efficiency, Facility Management, Green Building, GreenTech, Hardware, Property Management, Software, Sustainability","Cologne, Nordrhein-Westfalen, Germany",Lumoview digitizes buildings in 2 seconds per room and empowers owners to improve their buildings and reduce CO2 emissions.,"27,784",https://www.lumoview.com/,$1M to $10M,"NRW.BANK, IBB Ventures, Greencode Ventures, EIC Accelerator, WakeUp Capital","EIC Accelerator, Greencode Ventures, NRW.BANK",,https://www.linkedin.com/company/lumoview,11-50,"€3,000,000",Feb 2019
Younikat,https://www.crunchbase.com/organization/younikat,"Jun 2, 2025","€13,250,000",Not Started,"B2C, Food and Beverage, Food Processing, Pet","Munich, Bayern, Germany",Younikat is a petfood producer with all essential nutrients and are required to cover.,"29,276",https://www.vegdog.de/,$1M to $10M,"GGF, European Circular Bioeconomy Fund, Katjes Greenfood, Select Alternative Investments, SFO","European Circular Bioeconomy Fund, GGF, Katjes Greenfood",https://x.com/VEGDOG1,https://www.linkedin.com/company/younikat-gmbh-vegdog,11-50,"€9,000,000",2015
Limited,https://www.crunchbase.com/organization/limited-128a,"Jun 2, 2025","$10,000,000",Not Started,"Finance, Financial Exchanges, Financial Services","San Francisco, California, United States","Limited offers a global self-custodial experience, allowing global customers to spend, save, invest, and transact globally.","29,802",https://limitedapp.com/,—,"The House Fund, North Island Ventures, Third Prime, Collab+Currency, SevenX Ventures","North Island Ventures, Third Prime",,https://www.linkedin.com/company/limited/,11-50,"$7,000,000",2023
Immunomic Therapeutics,https://www.crunchbase.com/organization/immunomic-therapeutics,"Jun 2, 2025","$84,895,999",Not Started,"Biotechnology, Life Science, Therapeutics","Lancaster, Pennsylvania, United States",Immunomic Therapeutics is a development stage biotechnology company that develops lysosomal associated membrane protein-based vaccines.,"30,987",http://www.immunomix.com/,$1M to $10M,"Life Sciences Greenhouse of Pennsylvania, Brainchild Holdings, Keiretsu Forum Northwest, Mid Atlantic Bio Angels, Minority Angel Investor Network",Mid Atlantic Bio Angels,https://x.com/immunomix,http://www.linkedin.com/company/3055904,11-50,"$6,500,000",2005
