Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Conservancy of Southwest Florida,https://www.crunchbase.com/organization/conservancy-of-southwest-florida,"Jan 16, 2025","$25,150,000",Not Started,"Environmental Consulting, Non Profit","Naples, Florida, United States",Conservancy of Southwest Florida is a non-profit organization management company.,"74,890",https://www.conservancy.org/,$10M to $50M,"Naples Children & Education Foundation, John & Carol Walter Family Foundation","John & Carol Walter Family Foundation, Naples Children & Education Foundation",https://x.com/ConservancySWFL,https://www.linkedin.com/company/conservancy-of-southwest-florida/,101-250,"$25,000,000","Jan 1, 1964"
NRG Gym,https://www.crunchbase.com/organization/nrg-gym,"Jan 16, 2025","£9,000,000",Not Started,"Fitness, Health Care, Wellness","London, England, United Kingdom",NRG Gym is a health and wellness center.,"77,360",https://nrggym.com/,$1M to $10M,Puma Private Equity,Puma Private Equity,https://x.com/GymsNrg,https://www.linkedin.com/company/nrg-gym-limited,11-50,"£4,000,000",2011
South Dakota State University,https://www.crunchbase.com/organization/south-dakota-state-university,"Jan 16, 2025","$82,362,380",Not Started,"Education, Higher Education, Universities","Brookings, South Dakota, United States","South Dakota State University is a public research university located in Brookings, South Dakota.","94,880",http://www.sdstate.edu/,$100M to $500M,"U.S. Small Business Administration, U.S. Department of Agriculture, US Department of Commerce, Economic Development Administation, National Institute of Food and Agriculture","National Institute of Food and Agriculture, U.S. Department of Agriculture, US Department of Commerce, Economic Development Administation, U.S. Small Business Administration",https://x.com/sdstate,https://www.linkedin.com/company/south-dakota-state-university,1001-5000,"$947,200","Feb 21, 1881"
Scorpio Tankers,https://www.crunchbase.com/organization/scorpio-tankers,"Jan 16, 2025","$519,000,000",Not Started,"Manufacturing, Marine Transportation, Transportation","Monaco, Bayern, Germany","Scorpio Tankers is Scorpio Tankers Inc., a company incorporated in the Republic of The Marshall Islands.","96,379",http://www.scorpiotankers.com/,$1B to $10B,DekaBank,DekaBank,,https://www.linkedin.com/company/scorpiotankers,11-50,"$200,000,000",2009
Santa Barbara Management,https://www.crunchbase.com/organization/santa-barbara-management,"Jan 16, 2025","$10,300,000",Not Started,"Asset Management, Financial Services, Wealth Management","Chicago, Illinois, United States",Santa Barbara Management is a multifamily office that offers wealth management services.,"97,342",https://www.santabarbaramanagement.com/,—,—,—,,https://www.linkedin.com/company/santa-barbara-management/,1-10,"$10,300,000",2025
Micron Biomedical,https://www.crunchbase.com/organization/micron-biomedical-inc,"Jan 16, 2025","$67,800,000",Not Started,"Biopharma, Biotechnology, Health Care, Wellness","Atlanta, Georgia, United States",Micron Biomedical is a clinical-stage biopharmaceutical company on a rapid path to bring drugs and vaccines to market.,"127,110",http://www.micronbiomedical.com/,$1M to $10M,"Bill & Melinda Gates Foundation, J2 Ventures, Global Health Investment Corporation, LTS Lohmann Therapie-Systeme AG, Coalition for Epidemic Preparedness Innovations","Bill & Melinda Gates Foundation, Coalition for Epidemic Preparedness Innovations, Global Health Investment Corporation, J2 Ventures, LTS Lohmann Therapie-Systeme AG",,https://www.linkedin.com/company/micron-biomedical-inc./,11-50,"$16,000,000",2014
Ukrnafta,https://www.crunchbase.com/organization/ukrnafta-ojsc,"Jan 16, 2025","€80,000,000",Not Started,"Energy, Industrial, Oil and Gas","Kyiv, Kyyiv, Ukraine",Ukrnafta is an oil company that produces oil and natural gas.,"127,161",http://www.ukrnafta.com/,$1B to $10B,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,,https://www.linkedin.com/company/ukrnafta/,10001+,"€80,000,000",1995
Sirius Real Estate,https://www.crunchbase.com/organization/sirius-real-estate,"Jan 16, 2025","$554,389,631",Not Started,"Property Development, Property Management, Real Estate","London, England, United Kingdom",Sirius Real Estate offers real estate management services.,"127,229",https://www.sirius-real-estate.com/,$100M to $500M,BlackRock,BlackRock,https://x.com/siriusre?lang=en,https://www.linkedin.com/company/siriusrealestate/about/,251-500,"€350,000,000",2007
Pickle at the Palms,https://www.crunchbase.com/organization/pickle-at-the-palms,"Jan 16, 2025","$8,250,000",Not Started,"Rental, Service Industry, Sports","Seattle, Washington, United States","Pickle at the Palms is a sports complex that hosts corporate events, private rentals, and community gatherings.","138,955",https://pickleatthepalms.com/,—,—,—,,https://www.linkedin.com/company/pickle-at-the-palms/,11-50,"$8,250,000",—
Genius Sports,https://www.crunchbase.com/organization/genius-sports,"Jan 15, 2025","$489,147,292",Not Started,"Analytics, Fitness, Sports, Wellness","London, England, United Kingdom","Genius Sports is the official data, technology and commercial partner that powers the global ecosystem connecting sports, betting and media.",184,http://www.geniussports.com/,$500M to $1B,"Wellington Management, IonQ, Three Hills Capital Partners, Caledonia Investments",—,https://x.com/GeniusSports,https://www.linkedin.com/company/genius-sports,1001-5000,"$144,000,000",2000
NEURA Robotics,https://www.crunchbase.com/organization/neura-robotics,"Jan 15, 2025","€185,000,000",Not Started,"Artificial Intelligence (AI), Fleet Management, Industrial Automation, Robotics","Metzingen, Baden-Wurttemberg, Germany",Neura Robotics develops robotic assistants used in both industrial and daily settings to enhance robots cognitive abilities.,378,https://neura-robotics.com/,$50M to $100M,"Vsquared Ventures, HV Capital, C4 Ventures, Lingotto, BlueCrest Capital Mangament","HV Capital, InterAlpen Partners, Lingotto, Primepulse, Vsquared Ventures",https://x.com/NEURARobotics,https://www.linkedin.com/company/neura-robotics/,251-500,"€120,000,000",Mar 2019
Plantible Foods,https://www.crunchbase.com/organization/plantible-foods,"Jan 15, 2025","$56,400,000",Not Started,"Agriculture, AgTech, Alternative Protein, Nutrition","San Marcos, California, United States",Plantible Foods is a food technology company that develops sustainable plant-based proteins from the aquatic plant lemna.,"4,292",https://www.plantiblefoods.com/,$1M to $10M,"Piva Capital, Chipotle Mexican Grill, Lerer Hippeau, Creative Destruction Lab (CDL), Elemental Impact","Astanor Ventures, Chipotle Mexican Grill, Elemental Impact, Lerer Hippeau, Piva Capital, Siddhi Capital, Unshackled Ventures, Vectr",https://x.com/plantible,https://www.linkedin.com/company/plantible,11-50,—,2018
Shippeo,https://www.crunchbase.com/organization/shippeo,"Jan 15, 2025","$137,764,097",Not Started,"B2B, Freight Service, SaaS, Shipping, Supply Chain Management","Paris, Ile-de-France, France",Shippeo is an IT services company that expertise in real time multimodal transportation visibility to help shippers and logistics services.,"4,971",http://www.shippeo.com/,$10M to $50M,"Bpifrance, Battery Ventures, Woven Capital, Shift4Good, Yamaha Motor Ventures","Battery Ventures, Bpifrance, EIC Scaling Club, ETF Partners, NGP Capital, ORLEN VC, Otium Capital, Partech, Woven Capital",https://x.com/ShippeoFRA,https://www.linkedin.com/company/shippeo,101-250,"€29,000,000",2014
Rockfish Data,https://www.crunchbase.com/organization/rockfish-data,"Jan 15, 2025","$9,454,998",Not Started,"Artificial Intelligence (AI), Database, Data Management","San Ramon, California, United States",Rockfish Data is a generative artificial intelligence software company that offer safe and effective ways to leverage and share data.,"5,128",https://www.rockfish.ai/,$1M to $10M,"Dallas Venture Capital, Emergent Ventures, TEN13, Foster Ventures",Emergent Ventures,https://x.com/rockfishdata,https://www.linkedin.com/company/rockfish-data/,11-50,"$4,000,000",2022
